DemandRegion,Product,ShipmentSize,ServiceLevel,Period,DemandBundle,AmountDemanded,SolverInclude
ST_1178_DT_MI_Coldwater_49036-2059,DT,Outbound,DTR_SVC,Peak_2021,ST_1178_DT_MI_Coldwater_49036-2059,1839,Yes
ST_1179_DT_MA_Gardner_01440-5200,DT,Outbound,DTR_SVC,Peak_2021,ST_1179_DT_MA_Gardner_01440-5200,2604,Yes
ST_117_DT_KY_Madisonville_42431-2774,DT,Outbound,DTR_SVC,Peak_2021,ST_117_DT_KY_Madisonville_42431-2774,1430,Yes
ST_1180_DT_OK_Ponca City_74601-1735,DT,Outbound,DTR_SVC,Peak_2021,ST_1180_DT_OK_Ponca City_74601-1735,2083,Yes
ST_1181_DT_AL_Oneonta_35121-2731,DT,Outbound,DTR_SVC,Peak_2021,ST_1181_DT_AL_Oneonta_35121-2731,1862,Yes
ST_1182_DT_LA_Monroe_71201-6123,DT,Outbound,DTR_SVC,Peak_2021,ST_1182_DT_LA_Monroe_71201-6123,3872,Yes
ST_1183_DT_WI_Marshfield_54449-8336,DT,Outbound,DTR_SVC,Peak_2021,ST_1183_DT_WI_Marshfield_54449-8336,2078,Yes
ST_1184_DT_TX_Garland_75043-1528,DT,Outbound,DTR_SVC,Peak_2021,ST_1184_DT_TX_Garland_75043-1528,1390,Yes
ST_1185_DT_IN_LaPorte_46350-8047,DT,Outbound,DTR_SVC,Peak_2021,ST_1185_DT_IN_LaPorte_46350-8047,1773,Yes
ST_1187_DT_NY_Catskill_12414-1730,DT_Bulk_HV,Outbound,DTR_SVC,Peak_2021,ST_1187_DT_NY_Catskill_12414-1730,438,Yes
ST_1187_DT_NY_Catskill_12414-1730,DT_Bulk_Non-HV,Outbound,DTR_SVC,Peak_2021,ST_1187_DT_NY_Catskill_12414-1730,1010,Yes
ST_1188_DT_TX_Plano_75075-5123,DT,Outbound,DTR_SVC,Peak_2021,ST_1188_DT_TX_Plano_75075-5123,3736,Yes
ST_1189_DT_GA_Perry_31069-2144,DT,Outbound,DTR_SVC,Peak_2021,ST_1189_DT_GA_Perry_31069-2144,1655,Yes
